Rank,First Name,Last Name,Pos,Team
1,Roki,Sasaki,RHP,Los Angeles Dodgers
2,Roman,Anthony,OF,Boston Red Sox
3,Jackson,Jobe,RHP,Detroit Tigers
4,Kristian,Campbell,2B,Boston Red Sox
5,Walker,Jenkins,OF,Minnesota Twins
6,Dylan,Crews,OF,Washington Nationals
7,Bubba,Chandler,RHP,Pittsburgh Pirates
8,Chase,Dollander,RHP,Colorado Rockies
9,Andrew,Painter,RHP,Philadelphia Phillies
10,Noah,Schultz,LHP,Chicago White Sox
11,Carson,Williams,SS,Tampa Bay Rays
12,Bryce,Eldridge,1B,San Francisco Giants
13,Jordan,Lawlar,SS,Arizona Diamondbacks
14,Samuel,Basallo,C,Baltimore Orioles
15,Marcelo,Mayer,SS,Boston Red Sox
16,Colt,Emerson,SS,Seattle Mariners
17,Jesus,Made,SS,Milwaukee Brewers
18,Leodalis,De Vries,SS,San Diego Padres
19,Emmanuel,Rodriguez,OF,Minnesota Twins
20,Kumar,Rocker,RHP,Texas Rangers
21,Sebastian,Walcott,SS,Texas Rangers
22,Max,Clark,OF,Detroit Tigers
23,Kevin,McGonigle,SS,Detroit Tigers
24,Travis,Bazzana,2B,Cleveland Guardians
26,Rhett,Lowder,RHP,Cincinnati Reds
27,Chase,Burns,RHP,Cincinnati Reds
28,Jasson,Dominguez,OF,New York Yankees
29,Coby,Mayo,3B,Baltimore Orioles
30,Dalton,Rushing,C,Los Angeles Dodgers
31,Ethan,Salas,C,San Diego Padres
32,Jaison,Chourio,OF,Cleveland Guardians
33,Thomas,White,LHP,Miami Marlins
34,Nick,Kurtz,1B,Athletics
35,Matt,Shaw,3B,Chicago Cubs
36,Aidan,Miller,SS,Philadelphia Phillies
37,Angel,Genao,SS,Cleveland Guardians
38,Jacob,Wilson,SS,Athletics
39,Colson,Montgomery,SS,Chicago White Sox
40,Hagen,Smith,LHP,Chicago White Sox
42,Charlie,Condon,OF,Colorado Rockies
43,Jeferson,Quero,C,Milwaukee Brewers
44,Jacob,Misiorowski,RHP,Milwaukee Brewers
45,Luke,Keaschall,2B,Minnesota Twins
46,Alex,Freeland,SS,Los Angeles Dodgers
47,Josue,De Paula,OF,Los Angeles Dodgers
48,Chase,DeLauter,OF,Cleveland Guardians
49,Alejandro,Rosario,RHP,Texas Rangers
50,Cooper,Pratt,SS,Milwaukee Brewers
51,Zyhir,Hope,OF,Los Angeles Dodgers
52,Kyle,Teel,C,Chicago White Sox
53,Drake,Baldwin,C,Atlanta Braves
54,Cade,Horton,RHP,Chicago Cubs
55,Cam,Smith,3B,Houston Astros
56,Cole,Young,SS,Seattle Mariners
57,Konnor,Griffin,SS,Pittsburgh Pirates
58,Jett,Williams,SS,New York Mets
59,Travis,Sykora,RHP,Washington Nationals
60,Bryce,Rainer,SS,Detroit Tigers
61,Brandon,Sproat,RHP,New York Mets
62,Moises,Ballesteros,C,Chicago Cubs
63,Jac,Caglianone,1B,Kansas City Royals
64,Owen,Caissie,OF,Chicago Cubs
65,Brayden,Taylor,3B,Tampa Bay Rays
66,Braden,Montgomery,OF,Chicago White Sox
67,Jarlin,Susana,RHP,Washington Nationals
69,Thayron,Liranzo,C,Detroit Tigers
70,Jonny,Farmelo,OF,Seattle Mariners
71,Kevin,Alcantara,OF,Chicago Cubs
72,Starlyn,Caba,SS,Miami Marlins
73,Zebby,Matthews,RHP,Minnesota Twins
74,Thomas,Harrington,RHP,Pittsburgh Pirates
75,Blake,Mitchell,C,Kansas City Royals
76,Franklin,Arias,SS,Boston Red Sox
77,Michael,Arroyo,2B,Seattle Mariners
78,Caden,Dana,RHP,Los Angeles Angels
79,Christian,Moore,2B,Los Angeles Angels
80,Tre',Morgan,1B,Tampa Bay Rays
81,Heston,Kjerstad,OF,Baltimore Orioles
82,Jackson,Ferris,LHP,Los Angeles Dodgers
83,AJ,Smith-Shawver,RHP,Atlanta Braves
84,Demetrio,Crisantes,2B,Arizona Diamondbacks
85,Cole,Carrigg,OF,Colorado Rockies
86,Colby,Thomas,OF,Athletics
87,Xavier,Isaac,1B,Tampa Bay Rays
88,George,Lombard,SS,New York Yankees
89,Felnin,Celesten,SS,Seattle Mariners
90,Trevor,Harrison,RHP,Tampa Bay Rays
91,Ralphy,Velazquez,1B,Cleveland Guardians
92,Jesus,Baez,3B,New York Mets
93,Eduardo,Tait,C,Philadelphia Phillies
94,Gary,Gill Hill,RHP,Tampa Bay Rays
95,Harry,Ford,C,Seattle Mariners
96,Justin,Crawford,OF,Philadelphia Phillies
97,Lazaro,Montes,OF,Seattle Mariners
98,Chase,Petty,RHP,Cincinnati Reds
99,Nolan,McLean,RHP,New York Mets
100,Ricky,Tiedemann,LHP,Toronto Blue Jays
