First Name,Last Name,Pos,Team,Rank
Roman,Anthony,OF,BOS,1
Samuel,Basallo,C,BAL,3
Walker,Jenkins,OF,MIN,4
Colt,Emerson,SS,SEA,5
Max,Clark,OF,DET,6
Dylan,Crews,OF,WSH,7
Carson,Williams,SS,TB,8
Jordan,Lawlar,SS,ARI,10
Jackson,Jobe,RHP,DET,11
Andrew,Painter,RHP,PHI,12
Aidan,Miller,SS,PHI,13
Matt,Shaw,IF,CHC,14
Jeferson,Quero,C,MIL,15
Dalton,Rushing,C,LAD,16
Ethan,Salas,C,SD,17
Bubba,Chandler,RHP,PIT,19
Noah,Schultz,LHP,CWS,20
Emmanuel,Rodriguez,OF,MIN,21
Felnin,Celesten,SS,SEA,24
Drake,Baldwin,C,,27
Marcelo,Mayer,SS,BOS,28
Brandon,Sproat,RHP,NYM,30
Leodalis,De Vries,SS,SD,31
Kevin,Alcantara,OF,CHC,33
Charlie,Condon,OF,COL,34
Kyle,Teel,C,CWS,37
Braden,Montgomery,OF,CWS,38
Chase,Burns,RHP,CIN,40
Justin,Crawford,OF,PHI,41
Franklin,Arias,SS,BOS,42
Cooper,Pratt,SS,MIL,44
Cole,Young,SS,SEA,45
Moises,Ballesteros,C,CHC,46
Thayron,Liranzo,C,DET,47
Rhett,Lowder,RHP,CIN,48
Hagen,Smith,LHP,CWS,49
Kumar,Rocker,RHP,TEX,51
River,Ryan,RHP,LAD,52
Edgar,Quero,C,CWS,53
Angel,Genao,SS,CLE,54
Thomas,White,LHP,MIA,57
Zyhir,Hope,OF,LAD,58
Jett,Williams,SS,NYM,61
Caden,Dana,RHP,LAA,63
Alejandro,Rosario,RHP,TEX,64
Ryan,Waldschmidt,OF,ARI,65
Lazaro,Montes,OF,SEA,66
Cooper,Ingle,C,CLE,67
Alex,Freeland,SS,LAD,68
Jaison,Chourio,OF,CLE,69
Bryce,Rainer,SS,DET,70
Arjun,Nimmala,SS,TOR,71
Starlyn,Caba,SS,MIA,72
Cade,Horton,RHP,CHC,74
Chase,Dollander,RHP,COL,75
Blake,Mitchell,C,KC,76
Edwin,Arroyo,SS,CIN,77
Jesus,Made,SS,MIL,78
Harry,Ford,C,SEA,79
Seaver,King,SS,WSH,80
Travis,Sykora,RHP,WSH,85
Slade,Caldwell,OF,ARI,86
Adrian,del Castillo,C,ARI,88
Noble,Meyer,RHP,MIA,93
Jaden,Hamm,RHP,DET,94
Druw,Jones,OF,ARI,95
Trey,Yesavage,RHP,TOR,96
George,Lombard,SS,NYY,98
Joe,Mack,C,MIA,99
