First Name,Last Name,Position,Team Abbreviation,Rank
Roki,Sasaki,RHP,LAD,1
Roman,Anthony,RF,BOS,2
Walker,Jenkins,RF,MIN,3
Marcelo,Mayer,SS,BOS,4
Carson,Williams,SS,TB,5
Dylan,Crews,CF,WSH,6
Jackson,Jobe,RHP,DET,7
Max,Clark,CF,DET,9
Kevin,McGonigle,SS,DET,10
Bubba,Chandler,RHP,PIT,11
Colt,Emerson,SS,SEA,12
Aidan,Miller,SS,PHI,13
Chase,Dollander,RHP,COL,14
Leodalis,De Vries,SS,SD,15
Dalton,Rushing,C,LAD,16
Samuel,Basallo,C,BAL,17
Noah,Schultz,LHP,CWS,18
Sebastian,Walcott,SS,TEX,19
Josue,De Paula,LF,LAD,20
Andrew,Painter,RHP,PHI,21
Ethan,Salas,C,SD,22
Jasson,Dominguez,CF,NYY,24
Emmanuel,Rodriguez,CF,MIN,27
Jordan,Lawlar,SS,ARI,28
JJ,Wetherholt,SS,STL,30
Jacob,Wilson,SS,OAK,31
Chase,DeLauter,RF,CLE,32
Colson,Montgomery,SS,CWS,33
Kumar,Rocker,RHP,TEX,35
Chase,Burns,RHP,CIN,36
Alex,Freeland,SS,LAD,37
Kyle,Teel,C,CWS,38
Rhett,Lowder,RHP,CIN,39
Hagen,Smith,LHP,CWS,41
Blake,Mitchell,C,KC,42
Drake,Baldwin,C,ATL,44
Jonny,Farmelo,CF,SEA,45
Jesus,Made,SS,MIL,46
Cooper,Pratt,SS,MIL,48
Jeferson,Quero,C,MIL,49
Moises,Ballesteros,C,CHC,50
Jarlin,Susana,RHP,WSH,53
Edgar,Quero,C,CWS,54
Thomas,White,LHP,MIA,55
Alejandro,Rosario,RHP,TEX,56
Quinn,Mathews,LHP,STL,58
Harry,Ford,C,SEA,59
George,Lombard Jr.,SS,NYY,60
Caden,Dana,RHP,LAA,61
Brandon,Sproat,RHP,NYM,62
Kevin,Alcantara,CF,CHC,64
Tink,Hence,RHP,STL,65
Starlyn,Caba,SS,MIA,66
Ronny,Mauricio,SS,NYM,67
Jacob,Misiorowski,RHP,MIL,68
Arjun,Nimmala,SS,TOR,69
Zyhir,Hope,CF,LAD,70
Jaison,Chourio,CF,CLE,74
Chase,Petty,RHP,CIN,76
Felnin,Celesten,SS,SEA,77
Travis,Sykora,RHP,WSH,78
Bryce,Rainer,SS,DET,79
Emil,Morales,SS,LAD,80
Konnor,Griffin,SS,PIT,81
Enrique,Bradfield Jr.,CF,BAL,82
Alfredo,Duno,C,CIN,83
Drew,Gilbert,CF,NYM,84
Nacho,Alvarez Jr.,SS,ATL,85
Owen,Caissie,RF,CHC,86
Aidan,Smith,CF,TB,87
George,Klassen,RHP,LAA,88
Ricky,Tiedemann,LHP,TOR,89
Moises,Chace,RHP,PHI,90
Chandler,Simpson,CF,TB,91
Braden,Montgomery,RF,CWS,92
Jackson,Ferris,LHP,LAD,93
River,Ryan,RHP,LAD,94
Jacob,Melton,CF,HOU,95
Agustin,Ramirez,C,MIA,96
Cade,Horton,RHP,CHC,97
Braxton,Ashcraft,RHP,PIT,99
Charlee,Soto,RHP,MIN,100
