Rank,First Name,Last Name,Position
1,Roki,Sasaki,RHP
2,Roman,Anthony,OF
3,Walker,Jenkins,OF
4,Dylan,Crews,OF
5,Jackson,Jobe,RHP
6,Max,Clark,OF
7,Kristian,Campbell,2B/SS/OF
8,Andrew,Painter,RHP
9,Carson,Williams,SS
10,Travis,Bazzana,2B
11,Jordan,Lawlar,SS
12,Marcelo,Mayer,SS
13,Samuel,Basallo,C/1B
14,Coby,Mayo,3B/1B
15,Bubba,Chandler,RHP
16,Noah,Schultz,LHP
17,Sebastian,Walcott,SS/3B
19,Matt,Shaw,INF
20,Colt,Emerson,SS/3B
22,Jac,Caglianone,1B
23,JJ,Wetherholt,SS
24,Bryce,Eldridge,1B
25,Chase,Dollander,RHP
26,Chase,Burns,RHP
27,Aidan,Miller,SS
30,Dalton,Rushing,C/OF
31,Jacob,Wilson,SS
32,Kyle,Teel,C
33,Ethan,Salas,C
34,Hagen,Smith,LHP
35,Rhett,Lowder,RHP
36,Chase,DeLauter,OF
37,Emmanuel,Rodriguez,OF
38,Nick,Kurtz,1B
39,Colson,Montgomery,SS
41,Thomas,White,LHP
42,Lazaro,Montes,OF
44,Kumar,Rocker,RHP
45,Quinn,Mathews,LHP
46,Brandon,Sproat,RHP
47,Jeferson,Quero,C
48,Blake,Mitchell,C
50,Xavier,Isaac,1B
51,Cade,Horton,RHP
52,Bryce,Rainer,SS
53,Owen,Caissie,OF
54,Braden,Montgomery,OF
56,Cooper,Pratt,SS
57,Jett,Williams,SS/OF
58,Cam,Smith,3B
59,Jaison,Chourio,OF
60,Luke,Keaschall,2B/OF/1B
61,Angel,Genao,INF
62,Drake,Baldwin,C
63,Justin,Crawford,OF
64,Harry,Ford,C
65,Edgar,Quero,C
66,Brayden,Taylor,INF
67,Christian,Moore,2B
68,Moises,Ballesteros,C/1B
69,Travis,Sykora,RHP
70,Jackson,Ferris,LHP
71,Alex,Freeland,SS
73,Felnin,Celesten,SS
74,Zyhir,Hope,OF
76,Tink,Hence,RHP
77,Caden,Dana,RHP
78,Jarlin,Susana,RHP
79,Thomas,Harrington,RHP
80,Starlyn,Caba,SS
81,Thayron,Liranzo,C/1B
84,Noble,Meyer,RHP
85,Carter,Jensen,C
86,Arjun,Nimmala,SS
87,Trey,Yesavage,RHP
88,Cam,Caminiti,LHP
90,Cam,Collier,3B
91,Edwin,Arroyo,SS
92,Eduardo,Tait,C
95,Jonny,Farmelo,OF
98,Theo,Gillen,OF
99,Jacob,Misiorowski,RHP
100,Carson,Benge,OF
