Name,Pos,Org,Top 100,Org Rk,Age,Hit,Pitch Sel,Bat Ctrl,Con Style,Game Pwr,Raw Pwr,Spd,Fld,Versa,Hard Hit%,FV,PlayerId
"Roki Sasaki","SP","LAD",1,0,"23.2","",,,,"","","","",,,"65","sa3025686"
"Roman Anthony","RF","BOS",2,0,"20.8277777","40 / 45",55,45,"InsideOut","55 / 70","70 / 80","55 / 50","50 / 60","OF",0.53,"60","sa3020211"
"Dylan Crews","CF","WSN",3,0,"23.0416666","45 / 50",50,50,"InsideOut","50 / 60","60 / 60","70 / 70","40 / 45","OF",0.46,"60","33541"
"Sebastian Walcott","SS","TEX",4,0,"18.9916666","30 / 45",50,40,"Pull","45 / 70","60 / 80","45 / 45","40 / 50","SS/3B",0.37,"60","sa3021069"
"Samuel Basallo","C","BAL",5,0,"20.5777777","30 / 40",30,55,"PoleToPole","55 / 70","70 / 80","40 / 40","30 / 45","C/1B",0.49,"60","sa3015716"
"Andrew Painter","SP","PHI",6,1,"21.9194444","",,,,"","","","",,,"60","sa3017880"
"Kristian Campbell","2B","BOS",7,0,"22.7027777","40 / 50",60,50,"PoleToPole","45 / 60","55 / 60","60 / 60","30 / 40","2B/SS/CF",0.45,"60","sa3023011"
"Dalton Rushing","C","LAD",8,0,"24.0555555","40 / 50",70,50,"Pull","50 / 55","55 / 55","45 / 45","40 / 45","C/LF",0.48,"60","sa3019892"
"Jackson Jobe","SP","DET",9,1,"22.6138888","",,,,"","","","",,,"60","30203"
"Carson Williams","SS","TBR",10,1,"21.7111111","30 / 35",40,35,"PoleToPole","40 / 55","55 / 60","55 / 55","60 / 70",,0.4,"60","sa3017795"
"Drake Baldwin","C","ATL",11,1,"23.9527777","45 / 55",55,55,"InsideOut","45 / 55","55 / 55","30 / 30","40 / 45",,0.5,"55","sa3019920"
"Chase Dollander","SP","COL",12,1,"23.375","",,,,"","","","",,,"55","sa3023361"
"Matt Shaw","3B","CHC",13,1,"23.3472222","40 / 50",40,55,"PoleToPole","45 / 60","60 / 60","60 / 60","45 / 55","2B/3B",0.42,"55","sa3022615"
"Jordan Lawlar","SS","ARI",14,1,"22.65","35 / 40",60,40,"PoleToPole","45 / 55","50 / 60","70 / 70","55 / 60","3B/SS",0.33,"55","29976"
"Aidan Miller","SS","PHI",15,2,"20.7555555","40 / 50",50,50,"InsideOut","45 / 60","50 / 60","55 / 55","30 / 40",,0.36,"55","sa3022609"
"Jasson Domínguez","LF","NYY",16,1,"22.0944444","40 / 45",50,45,"Pull/Oppo","55 / 60","60 / 60","55 / 55","40 / 45","OF",0.42,"55","28080"
"Walker Jenkins","LF","MIN",17,0,"20.0611111","45 / 60",50,60,"PoleToPole","40 / 55","45 / 55","45 / 40","30 / 50",,0.36,"55","sa3022894"
"Noah Schultz","SP","CHW",18,0,"21.6","",,,,"","","","",,,"55","sa3020949"
"Jarlin Susana","SP","WSN",19,0,"20.9666666","",,,,"","","","",,,"55","sa3018808"
"Emmanuel Rodriguez","CF","MIN",20,0,"22.0305555","20 / 30",80,30,"GapToGap","50 / 60","70 / 70","50 / 50","60 / 60","OF",0.56,"55","sa3014693"
"Ethan Salas","C","SDP",21,0,"18.7777777","25 / 40",40,50,"GapToGap","30 / 55","45 / 60","50 / 40","45 / 70",,0.32,"55","sa3020881"
"Hagen Smith","SP","CHW",22,0,"21.5611111","",,,,"","","","",,,"55","sa3025544"
"Bubba Chandler","SP","PIT",23,0,"22.4916666","",,,,"","","","",,,"55","sa3017428"
"Brandon Sproat","SP","NYM",24,0,"24.4833333","",,,,"","","","",,,"55","sa3023499"
"Caden Dana","SP","LAA",25,1,"21.2333333","",,,,"","","","",,,"55","31508"
"Bryce Eldridge","1B","SFG",26,1,"20.3916666","30 / 40",45,50,"PoleToPole","45 / 70","60 / 80","45 / 30","30 / 40",,0.56,"55","sa3022757"
"Jacob Misiorowski","SP","MIL",27,0,"22.9388888","",,,,"","","","",,,"55","sa3020644"
"Chase Burns","SP","CIN",28,0,"22.1805555","",,,,"","","","",,,"55","sa3028086"
"Alfredo Duno","C","CIN",29,0,"19.1777777","20 / 35",55,30,"PoleToPole","25 / 70","60 / 80","55 / 40","40 / 60",,0.49,"55","sa3021066"
